# 昨日は英語でイエスタデイ？イエスだぜー,きのう は えいご で イエスタデイ？イエス だぜー
うめがうめー,うめ が うめー
# A4でえーよん,えー よん で えー よん
和尚さんが二人いる。おしょうがツー,おしょう さん が ふたり いる。おしょう が つー
# 汚職があったなんて「おおショック」,おしょく が あった なんて「おおショック」
